,Review,Polarity,Subjectivity
1962,"This movie is a disgrace to the star wars franchise. I wasn't expecting a masterpiece considering both the last jedi and the force awakens were pretty much unwatchable, but I managed to be twenty times more shocked and disgusted with this movie than I ever expected to be. I could have gone my entire life without that Kylo Ren makeout scene. Pretty sure the whole theater heard me gag. And while we're at it, let's discuss that Carrie Fisher tribute. Some tribute that was. Killing Leia off and having her vanish into mid-air? for what? So we can watch these mediocre, shallow characters that nobody cares about run around in circles fighting each other for five minutes and then hopping to the next planet to fight again and again and again? By the time the end credits started rolling, I felt like I was being put out of my misery. Real star wars fans know that this movie is nothing but a steaming pile of garbage. It doesn't feel like star wars anymore, if that makes sense. The prequels may not be the best movies ever made, but at least they have that classic star wars feel. This movie doesn't. The characters are dull. The saber battles suck. The dialogue is dreadful. The villain is useless. The twist is lame. The ending was the best part because that meant I was finally about to be free of the torture.",-0.02628205128205127,0.5566239316239318
5549,"Im very imprsssive with starwars,if starwars ends so my life is end...Iam growth with starwars , hard to carry on 😭 it has everythings in it !",-0.08229166666666668,0.4208333333333333
1068,"This is the worst movie I have ever seen, a catastrophic special effects orgy without any sense that destroys one of the best sagas. The people behind this trilogy are criminals.",-0.010714285714285704,0.6428571428571428
860,"Well, this one is hard to judge.",-0.2916666666666667,0.5416666666666666
4748,"I think it's become popular to hate on the new Star Wars movies. I truly hated the second set, but the last three got back to the fun that is Star Wars. I saw the first one in the theater when I was in Jr. High. I was sucked into their world, and by the time Return of the Jedi came around, my friends and I couldn't wait to see what happened to Han.",-0.025363636363636376,0.40945454545454546
2335,"After the disappointment of The Last Jedi, I was so relieved to hear J.J. Abrams was directing the final instalment of the Star Wars saga and he did not disappoint.",-0.19999999999999998,0.48888888888888893
386,"The biggest flaw to this film was that everything was forced. There were no explanations or diving into more 'Force' Lore. The Storyline was sloppy, sloppy even for a movie with 1/100th of the budget of this movie. JJ Abrams didn't bring anything new to the series, he just rehashed the original. Sorry there was too many things taken from Empire Strikes Back and Return of The Jedi in this one. Shows the lack of creativity and talent from the Producers and Director.",-0.013552188552188562,0.544949494949495
2109,"An over-sized mess, with no substance in sight. You can tell that Palpatine's return from the dead, was an attempt to create an ""artificial epic ending"".... in the end it simply looks like a shoehorned attempt to save an awful plot line.",-0.3125,0.5553571428571429
1554,"For a huge fan base that grew over the years, it is insulting to come up with such a low quality production. This is no ordinary movie, this was suppose to seal an entire saga spanning generations. It is obvious people who brought creativity and success to the series did not work on this movie.
Corporate ruined it? Most likely.
Bitter dissapointment.
Absolutely mediocre movie.
I think it's time for us to take a long break from Star Wars. It should be named The downfall not The Rise. Written by second graders? Most likely! Illogical, borderline stupid.
Nothing makes any sense whatsoever.
Poor acting, horrible screenplay and directing.
Horrible Horrible Horrible .",-0.23299999999999998,0.633
2039,"** Summary **
Terrible script. Actors and CGI are OK, but no amount of acting or CGI could have saved it. As a 40-ish Star Wars fan, I no longer feel engaged with the movie franchise. I feel more like Disney was banking on me watching this as I have watched all previous movies. Despite the terrible Last Jedi.",-0.16666666666666669,0.46190476190476193
5923,The Three Key Elements of Star Wars thats missing from Disney Star Wars is the following (IMHO);,-0.06666666666666667,0.38333333333333336
