,Review,Polarity,Subjectivity
468,So bad ... words can't describe it.,-0.6999999999999998,0.6666666666666666
5075,"A quick overview of why it was so bad:
*Space ""bombers"".
*Flying through space surrounded by an oxygen bubble.
*Poor character development
*Overuse of special effects for no effect",-0.10238095238095236,0.5845238095238094
6089,"Who is so stupid to rate this movie 1/10 !!!!! What is wrong with you people!!!?
For the worst haters, this movie is worth no less than 5. Talk to your doctor and don't waste your time for ratings",-0.4655381944444445,0.5111111111111112
7049,"Star Wars appears to have become a vehicle for a forced agenda and not about great story telling. The Last Jedi was horribly filmed, the transitions between scenes and the attempts at forced humor and light heartedness are akin more to a sitcom. The endless parade of characters that don't matter appears to be agenda driven. This film is 2 1/2 hours long yet every scene appears rushed because they force too much in. How they treated the character of Luke Skywalker was horrible and I have to agree with Mark Hamill's comments entirely - its like they re-wrote his character.. Just poor choices. People are too happy in this movie in the face of loss and struggle and it just feels like everyone is doing the motions to create the film so Disney can sell a lot of cheap plastic toys. Just very very sad, I was so very disappointed. The villains inspired zero fear and were so subdued - no way Kylo-Ren or Snoke could survive in the constant battle for power the Empire is known for, not based on what we saw. This movie just seemed cheap and the forced addition of characters seems more about Disney wanting the franchise to appeal to a larger market. The character of Rose -- I felt like she was acting in another movie, it felt like she was completely disconnected from what was going on and the film she was in... She just sucked big time, her lines were child like and simple, her character had no real depth and they have to stop filling the Star Wars universe with animated characters like Maz Kanata they are tacky to say the least. The emotion in this film was not there and the focus was lacking. Star Wars is supposed to be space opera where was the amazing musical score -- it was so passive and they didn't feature it properly?? This guy Rian Johnson who is directing is not a hot commodity he is a low budget guy with a weak film making history. Just very sad disappointing film.",-0.057894736842105256,0.5293546365914787
1787,All fans of star wars and the expanded universe just crying after this movie.,-0.2,0.6
4235,I feel genuinely sorry for the actors in this film. It is not their fault the film is terrible it is script writers. What were they (the writers) thinking? They literally put shame on Star Wars' legacy. Within the first 10 minutes you can tell this film is going to be awful with the terrible jokes that are more 'Marvel's Avenegers' then Star Wars.,-0.4583333333333333,0.8055555555555557
2702,"As you can tell from the title I found this movie disappointing. It goes down the same track as The Terminator, Alien and the Batman sequels*. (Briefly rescued by Nolan*). A powerful story turned into a shallow one due to weak writing and what appears to be no research conducted to understand the depth of the original storyline, the characters and the cross-over to this new era. ",-0.06479377104377103,0.5751473063973064
2651,"Saw the movie tonight on opening night and I can't believe how you can have an entire theater cheering for Luke's arrival to save the Rebellion, and thirty seconds later have that good feeling torn out of you. Those cheering fans of five minutes before, left the theater, heads down in silence. This was a total disservice to the character of Luke Skywalker. Did the writers of this movie even SEE the first three movies and what Luke's character stood for?? Luke was a hero to millions of us growing up, and to see him written off like this is horrible. Shame on you Disney.",-0.02569444444444445,0.44965277777777785
29,Just when you told things cannot get anymore cheesy and stupid here comes Rian to make Jar Jar Rip Off look good. Well nothing will rescue Episode VII but this episode is truly boring and sleep inducing.,-0.39999999999999997,0.9
397,"This film destroys everything you loved about Star Wars for the sake of race and gender diversity. Nothing wrong with either of those things, but having it forced down your throat is a problem and leads to pointless story lines. I don't know how Disney is going to come back from this. I'm not the only life long fan that's been turned off from the franchise. But that seems to be their goal. Out with the old and in with the new was this films theme. I guess I'll check out Star Trek.",-0.03191919191919194,0.4743434343434344
