,Review,Polarity,Subjectivity
1055,"It is difficult for me to evaluate the STAR WARS movies individually because each has been intended to be viewed as one whole saga. But EPISODE III: REVENGE OF THE SITH is a definite step-up from its last two flawed yet serviceable predecessors, THE PHANTOM MENACE and ATTACK OF THE CLONES, respectively. Whereas the aforementioned prequels took their time to set up exposition, this one unfolds at such a fierce, kinetic pace that you'll be hanging on for dear life.",-0.08888888888888889,0.3851851851851852
1645,"I won't get into the same points the other user's tried to make about this movie. Yes the acting was bad. The dialog was terrible. Blah, blah, and so on. Maybe I've missed reading it on here, but no one seems to notice or maybe they just don't care about the lack of continuity in this whole story line. This was my biggest gripe with this film. The events we watch in ""Sith"" are laid out completely different in ""Return of the Jedi"". In ""Jedi"" Obi-wan tells Luke that Vader(Anikin) didn't know that his wife was pregnant. He also says, his mother took Leah to Aldaraan, and that Ben took Luke to live with his brother Owen on Tatooine. There is no mention at all in any of the new movies about Uncle Owen being Obi-wan's brother. For those of you who haven't seen the new movie, I won't go into detail why this story conflicts ""Sith"" but those of you who have seen it, you know what I mean. There is also a part in ""Jedi"" when Leah tells Luke that she remembers her mother. This might seem picky to some of you who read this, but I hate when history is rewritten just because it becomes convenient. If you don't believe me, Just watch the original version of ""Jedi"". Not the one that was revamped and repackaged, but the original VHS release before it was tampered with. I don't know if they're on there because I can't watch the new version. You can also look at the shooting script for ""Jedi"" on-line. Yes, I know that not all the dialog in it was used for the final cut, but compare it with the final cut and you'll see what I mean. Awful. George, buddy, your messing with your own back-story.",-0.08672438672438673,0.6335858585858586
2559,"Unfortunately, there are so many wrong things in this movie that I don't know where to start from...",-0.16666666666666666,0.7999999999999999
1326,"I hated Ep. I and II (""I love you Padme! I hate you world!"") ugg. Garbage. But those looked like Hitchcock compared to this awful ""movie.""",-0.56875,0.7999999999999999
3314,this gets 4 stars only for the special effects. Acting is unbelievably bad and the script unbelievably idiotic. One can leave the first and the last 10 minutes of the movie but the rest needs to be redone.,-0.10850340136054418,0.49591836734693884
1284,"Just when you thought star wars was dead (Well, i did!), along comes revenge of the sith. After the boring and dull 1 and 2 of the star wars saga, this was exactly the shot in the arm this series of films deserved. George Lucas delivers in this fantastic 'finale' of flicks that gives the viewer thrills, spills, and everything else!. Its just got it all, for the old and the young, light sabres, fights galore and the sad, but brilliantly shot turning of anniken skywalker into the infamous darth vader.",-0.026515151515151523,0.6681818181818181
646,I really don't want to spend any time on this: this film sucked so bad that I came out thinking that I didn't get anything positive out of it.,-0.09090909090909087,0.4707070707070707
0,"In Coruscant, the Jedi Obi-Wan Kenobi (Ewan McGregor) and Anakin Skywalker (Hayden Christensen) rescue the Supreme Chancellor Palpatine (Ian McDiarmid) from the Separatist General Grievous' spaceship and Anakin kills Count Dooku (Christopher Lee) with his light-saber after a fight; however Grievous escape from the Jedi. When they land on Coruscant, Padmé Amidala (Natalie Portman) comes to tell Anakin that she is pregnant. Soon he has premonitions of his wife dying during the delivery. Palpatine requests that Anakin joins the Jedi Council against the will of the members but his is not promoted to Master and stays Padawan; further they ask him to spy Palpaline. Anakin is manipulated by Palpatine about the true intentions of the Jedi and is tempted to know the dark side of the Force that could be capable to save Padmé. Further Palpatine discloses that he is Sith Lord Darth Sidious. What will Anakin do?",-0.09074074074074076,0.6055555555555556
685,"All right, just returned from the cinema. Frankly, I didn't expect much of it. I went to watch it for the main reason that I've seen all SW movies around the time they came out so I wanted to watch the last one as well. But - what I didn't expect was that mind-numbing assault of unbelievably bad crap. The acting was in a galaxy far, far below any known standard, the dialogue made me grind my teeth (it was a true rival for the abysmal Blade III) and George Lucas' idea of tying up loose ends to connect EP III with IV is something very much like what a six-year old boy would think up. Every time Hayden Christensen attempted to put on an evil or angry facial expression I was forced to summon all strength not to explode with laughter. I could go on now for about an hour but I'll spare the eventual readers of this comment and myself the time. In summary, the movie was a waste of money.",-0.10602853287063814,0.4306111432427222
1605,"Jedi are unbelievably irritating. Jedi sucks, Sith are evil, chick dies,... there's no one to root for.",-0.5666666666666667,0.7000000000000001
